algorithm,n_clients_planned__mean,n_clients_planned__std,n_clients_planned__min,n_clients_planned__max,n_clients_visited__mean,n_clients_visited__std,n_clients_visited__min,n_clients_visited__max,total_minutes__mean,total_minutes__std,total_minutes__min,total_minutes__max,drive_minutes__mean,drive_minutes__std,drive_minutes__min,drive_minutes__max,depot_minutes__mean,depot_minutes__std,depot_minutes__min,depot_minutes__max,service_minutes__mean,service_minutes__std,service_minutes__min,service_minutes__max,driver_minutes__mean,driver_minutes__std,driver_minutes__min,driver_minutes__max,overhead_minutes__mean,overhead_minutes__std,overhead_minutes__min,overhead_minutes__max,total_km__mean,total_km__std,total_km__min,total_km__max,fuel_liters__mean,fuel_liters__std,fuel_liters__min,fuel_liters__max,fuel_eur__mean,fuel_eur__std,fuel_eur__min,fuel_eur__max,labor_eur__mean,labor_eur__std,labor_eur__min,labor_eur__max,driver_labor_eur__mean,driver_labor_eur__std,driver_labor_eur__min,driver_labor_eur__max,depot_labor_eur__mean,depot_labor_eur__std,depot_labor_eur__min,depot_labor_eur__max,wear_eur__mean,wear_eur__std,wear_eur__min,wear_eur__max,total_cost_eur__mean,total_cost_eur__std,total_cost_eur__min,total_cost_eur__max,co2_kg__mean,co2_kg__std,co2_kg__min,co2_kg__max,search_moves__mean,search_moves__std,search_moves__min,search_moves__max,tw_violations_min__mean,tw_violations_min__std,tw_violations_min__min,tw_violations_min__max,closed_visits__mean,closed_visits__std,closed_visits__min,closed_visits__max,capacity_violations__mean,capacity_violations__std,capacity_violations__min,capacity_violations__max,drops__mean,drops__std,drops__min,drops__max,delivered_units__mean,delivered_units__std,delivered_units__min,delivered_units__max,ordered_units__mean,ordered_units__std,ordered_units__min,ordered_units__max,fill_rate__mean,fill_rate__std,fill_rate__min,fill_rate__max,pallets_loaded__mean,pallets_loaded__std,pallets_loaded__min,pallets_loaded__max,pallet_volume_util__mean,pallet_volume_util__std,pallet_volume_util__min,pallet_volume_util__max,weight_util__mean,weight_util__std,weight_util__min,weight_util__max,returnables_picked_units__mean,returnables_picked_units__std,returnables_picked_units__min,returnables_picked_units__max,placement_rejections__mean,placement_rejections__std,placement_rejections__min,placement_rejections__max,lost_units__mean,lost_units__std,lost_units__min,lost_units__max,pack_overflow_units__mean,pack_overflow_units__std,pack_overflow_units__min,pack_overflow_units__max,pack_overflow_chunks__mean,pack_overflow_chunks__std,pack_overflow_chunks__min,pack_overflow_chunks__max,real_fill_rate__mean,real_fill_rate__std,real_fill_rate__min,real_fill_rate__max
ev-route,13.3,4.442351039553346,6,22,13.3,4.442351039553346,6,22,636.3036666666667,151.5541198767265,274.77,843.56,106.49833333333332,59.31979625859245,24.21,244.38,365.3283333333333,103.31713871521438,133.15,570.55,156.967,49.24524112488713,65.84,241.24,263.4653333333333,73.4708521013997,114.63,391.38,7.510000000000001,2.476280581283426,2.4,14.0,69.19200000000001,54.66152132079247,8.88,185.49,20.757333333333335,16.398507277174353,2.66,55.65,32.174,25.416763759377396,4.13,86.25,152.10600000000002,35.98622922442838,68.4,194.48,79.04033333333334,22.040179372718573,34.39,117.41,73.06566666666666,20.663427743042877,26.63,114.11,8.303333333333333,6.5586659352779,1.07,22.26,192.58333333333334,54.00369178525466,82.47,287.27,55.008,43.45627206824079,7.06,147.47,150.26666666666668,89.36786946075206,11,338,71.9,273.0105909275695,0.0,1390.0,0.0,0.0,0,0,44.6,76.29326358837665,0,338,0.3,1.0221680811915899,0,5,218.0,60.202531737346455,63.0,331.0,421.5,248.57785153923524,86.0,1465.0,0.59098,0.14918636435795607,0.185,0.9901,7.6,0.8136762043449723,6,8,0.22775666666666666,0.3083910489815715,0.0079,1.183,0.45548333333333335,0.1974456242620481,0.0563,0.9056,62.3,31.89005898503428,6.0,189.0,9.0,6.186748909481095,0,28,19.0,13.019878700637358,0.0,54.0,202.93333333333334,218.47290265706252,1.0,1194.0,42.166666666666664,27.003299074734187,1,87,1.0,0.0,1.0,1.0
historic,13.3,4.442351039553346,6,22,13.3,4.442351039553346,6,22,666.5473333333333,162.8982204753109,308.52,867.12,135.50766666666667,63.14364760052156,31.87,261.7,365.61333333333334,103.10422742372728,133.15,528.35,158.0896666666667,50.25922063169848,65.1,252.27,293.5973333333333,83.22410579722157,123.09,446.27,7.336666666666667,2.2914358295443362,1.6,11.5,81.31633333333335,55.47213351257351,11.68,191.54,24.394000000000002,16.64157146094248,3.51,57.46,37.812666666666665,25.794325483067713,5.43,89.07,161.20166666666668,39.49370609685002,78.28,210.58,88.079,24.967479724495693,36.93,133.88,73.12266666666666,20.620845484745455,26.63,105.67,9.757333333333333,6.656493813191558,1.4,22.98,208.77266666666668,57.291596840250044,86.56,301.5,64.64666666666668,44.09949607447899,9.29,152.27,157.73333333333332,95.2564355083011,3,361,70.83333333333333,263.36209285700744,0.0,1319.0,0.0,0.0,0,0,20.7,43.3916804357066,0,201,0.3333333333333333,1.18418699983352,0,6,218.36666666666667,60.1609813596896,63.0,324.0,421.5,248.57785153923524,86.0,1465.0,0.5925133333333333,0.15316736109807183,0.1986,0.9901,7.6,0.8136762043449723,6,8,0.22775666666666666,0.3083910489815715,0.0079,1.183,0.45548333333333335,0.1974456242620481,0.0563,0.9056,64.36666666666666,31.57965662643719,6.0,185.0,7.633333333333334,5.816049929428838,0,19,15.0,12.074481498113112,0.0,43.0,202.56666666666666,216.521510173507,1.0,1174.0,42.13333333333333,27.116267332046064,1,91,1.0,0.0,1.0,1.0
historic-load,13.3,4.442351039553346,6,22,13.3,4.442351039553346,6,22,572.891,129.80748815736376,275.18,775.18,89.25399999999999,57.619287874568656,16.98,207.32,318.46666666666664,80.11215450136498,139.3,439.65,158.63033333333334,49.374275550046846,68.3,248.42,247.88433333333333,69.32747764369321,109.97,374.88,6.54,1.87958175831936,1.6,9.8,59.57266666666667,52.0164173641582,6.23,166.44,17.871333333333332,15.604771978652783,1.87,49.93,27.702,24.18673737459408,2.9,77.39,138.058,31.73847968025238,67.9,191.04,74.36466666666666,20.797753979089006,32.99,112.46,63.693333333333335,16.022430900273,27.86,87.93,7.1483333333333325,6.2423492943477354,0.75,19.97,172.909,51.536395398685535,77.19,270.28,47.36133333333333,41.3538430631538,4.95,132.32,165.83333333333334,90.23038838720439,19,327,49.96666666666667,205.08307540138938,0.0,1042.0,0.0,0.0,0,0,45.36666666666667,122.79769831981248,0,610,0.3333333333333333,1.18418699983352,0,6,185.3,50.11170281102698,66.0,272.0,421.5,248.57785153923524,86.0,1465.0,0.5211966666666666,0.17879418621137688,0.1051,1.0,7.6,0.8136762043449723,6,8,0.22775666666666666,0.3083910489815715,0.0079,1.183,0.45548333333333335,0.1974456242620481,0.0563,0.9056,70.26666666666667,31.41812932965157,6.0,191.0,4.5,4.264933196711737,0,15,9.8,9.072124793887156,0.0,28.0,236.16666666666666,237.93538435137546,0.0,1311.0,54.166666666666664,38.2488073587637,0,130,1.0,0.0,1.0,1.0
